taxon_order,species_code,bio_concept_code,primary_com_name,sci_name,value
879,chbgua1,1CE8F9FE,Chestnut-bellied Guan,Penelope ochrogaster,IUCN_VU
880,whbgua1,7DDADC44,White-browed Guan,Penelope jacucaca,IUCN_VU
882,trpgua1,9D2FC800,Trinidad Piping-Guan,Pipile pipile,IUCN_CR
883,butpig1,0440B291,Blue-throated Piping-Guan,Pipile cumanensis,IUCN_LC
884,butpig2,601C4D19,White-throated Piping-Guan,Pipile grayi,IUCN_NT
886,rtpgua1,B261EA96,Red-throated Piping-Guan,Pipile cujubi,IUCN_VU
891,bfpgua1,DA1A931A,Black-fronted Piping-Guan,Pipile jacutinga,IUCN_EN
892,watgua1,50A42775,Wattled Guan,Aburria aburri,IUCN_LC
893,blagua1,8C688594,Black Guan,Chamaepetes unicolor,IUCN_LC
894,siwgua1,B019CEB9,Sickle-winged Guan,Chamaepetes goudotii,IUCN_LC
900,higgua1,E627D25F,Highland Guan,Penelopina nigra,IUCN_VU
901,horgua1,9584A5CA,Horned Guan,Oreophasis derbianus,IUCN_EN
902,noccur1,B4CC6C9F,Nocturnal Curassow,Nothocrax urumutum,IUCN_LC
903,crecur2,5C20314D,Crestless Curassow,Mitu tomentosum,IUCN_LC
904,salcur1,D24A7EA3,Salvin's Curassow,Mitu salvini,IUCN_LC
905,rabcur2,303C9D79,Razor-billed Curassow,Mitu tuberosum,IUCN_NT
906,alacur1,333D3213,Alagoas Curassow,Mitu mitu,IUCN_EW
907,helcur1,04689F34,Helmeted Curassow,Pauxi pauxi,IUCN_VU
910,horcur2,8F41C0ED,Sira Curassow,Pauxi koepckeae,IUCN_CR
911,horcur3,FB925C9B,Horned Curassow,Pauxi unicornis,IUCN_CR
912,grecur1,BA8A14D2,Great Curassow,Crax rubra,IUCN_VU
915,bubcur1,9260D3DD,Blue-billed Curassow,Crax alberti,IUCN_CR
916,yekcur1,0A74C21D,Yellow-knobbed Curassow,Crax daubentoni,IUCN_NT
917,blacur1,16A1A2B1,Black Curassow,Crax alector,IUCN_LC
920,watcur1,E3180F5D,Wattled Curassow,Crax globulosa,IUCN_EN
926,rebcur1,CB3380D4,Red-billed Curassow,Crax blumenbachii,IUCN_EN
930,helgui,1044B438,Helmeted Guineafowl,Numida meleagris,IUCN_LC
943,whbgui1,E0EE1B89,White-breasted Guineafowl,Agelastes meleagrides,IUCN_VU
944,blagui1,38193321,Black Guineafowl,Agelastes niger,IUCN_LC
945,vulgui1,F7A3FA35,Vulturine Guineafowl,Acryllium vulturinum,IUCN_LC
946,plugui1,374253A6,Plumed Guineafowl,Guttera plumifera,IUCN_LC
949,cregui3,35D60F12,Eastern Crested Guineafowl,Guttera pucherani,IUCN_LC
950,cregui2,9D29C252,Western Crested Guineafowl,Guttera verreauxi,IUCN_LC
953,cregui4,34703319,Southern Crested Guineafowl,Guttera edouardi,IUCN_LC
958,stopar1,57B05159,Stone Partridge,Ptilopachus petrosus,IUCN_LC
961,nahfra2,07A42F4E,Nahan's Partridge,Ptilopachus nahani,IUCN_VU
962,tafqua1,8A792FFC,Tawny-faced Quail,Rhynchortyx cinctus,IUCN_NT
966,mouqua,171E91FF,Mountain Quail,Oreortyx pictus,IUCN_LC
967,bcwpar1,AF3E329B,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,IUCN_LC
970,ltwpar1,B6A6A4A0,Long-tailed Wood-Partridge,Dendrortyx macroura,IUCN_LC
