species_code	authority_ver	taxon_order	category	sci_name	primary_com_name	order1	family_sci_name	bio_concept_code	
lbbgul4	2023	6530	subspecies	Larus fuscus heuglini	Lesser Black-backed Gull (Heuglin's)	Charadriiformes	Laridae	4592C07E	
casgul3	2023	6531	subspecies	Larus fuscus barabensis	Lesser Black-backed Gull (Steppe)	Charadriiformes	Laridae	AB79F65F	
slbgul	2023	6549	species	Larus schistisagus	Slaty-backed Gull	Charadriiformes	Laridae	456C7FAE	
glwgul	2023	6543	species	Larus glaucescens	Glaucous-winged Gull	Charadriiformes	Laridae	03AC32BA	
glagul	2023	6519	species	Larus hyperboreus	Glaucous Gull	Charadriiformes	Laridae	A59FA446	
gbbgul	2023	6516	species	Larus marinus	Great Black-backed Gull	Charadriiformes	Laridae	E826E9F3	
kelgul	2023	6490	species	Larus dominicanus	Kelp Gull	Charadriiformes	Laridae	E6536E4E	
kelgul3	2023	6491	subspecies	Larus dominicanus dominicanus	Kelp Gull (dominicanus)	Charadriiformes	Laridae	B939961A	
kelgul2	2023	6492	subspecies	Larus dominicanus austrinus	Kelp Gull (austrinus)	Charadriiformes	Laridae	6EE83FD1	
kelgul4	2023	6493	subspecies	Larus dominicanus judithae	Kelp Gull (judithae)	Charadriiformes	Laridae	9BBE6C3F	
kelgul1	2023	6494	subspecies	Larus dominicanus vetula	Kelp Gull (vetula)	Charadriiformes	Laridae	6062B689	
kelgul5	2023	6495	subspecies	Larus dominicanus melisandae	Kelp Gull (melisandae)	Charadriiformes	Laridae	36571D16	
brnnod	2023	6577	species	Anous stolidus	Brown Noddy	Charadriiformes	Laridae	A070171E	
blknod	2023	6585	species	Anous minutus	Black Noddy	Charadriiformes	Laridae	C67DCF31	
blknod3	2023	6586	subspecies	Anous minutus americanus	Black Noddy (americanus)	Charadriiformes	Laridae	6B9B77FD	
blknod1	2023	6587	subspecies	Anous minutus melanogenys	Black Noddy (melanogenys)	Charadriiformes	Laridae	12F4CD1B	
blknod2	2023	6588	issf	Anous minutus [minutus Group]	Black Noddy (minutus Group)	Charadriiformes	Laridae		
lesnod1	2023	6582	species	Anous tenuirostris	Lesser Noddy	Charadriiformes	Laridae	03F9EB15	
grynod1	2023	6596	species	Anous albivitta	Gray Noddy	Charadriiformes	Laridae	26DE68F8	
bugnod	2023	6600	species	Anous ceruleus	Blue-gray Noddy	Charadriiformes	Laridae	D021AB6A	
whiter	2023	6571	species	Gygis alba	White Tern	Charadriiformes	Laridae	05C7074B	
whiter3	2023	6572	subspecies	Gygis alba alba	White Tern (Atlantic)	Charadriiformes	Laridae	38B88F11	
