Scientific_name_eBird,English_name,Scientific_name_BirdLife,Continent,Peak_HTI,LowerCI_Peak_HTI,UpperCI_Peak_HTI,Conservative_HTI,LowerCI_Conservative_HTI,UpperCI_Conservative_HTI,Maximum_HTI,LowerCI_Maximum_HTI,UpperCI_Maximum_HTI,Missing_resampling_replicates
Acryllium vulturinum,Vulturine Guineafowl,Acryllium vulturinum,Africa,3.797727273,2.235077362,5.360377184,14.13181818,12.55980925,15.70382712,22.40454545,21.06177966,23.74731125,6
Actinodura cyanouroptera,Blue-winged Minla,Siva cyanouroptera,Asia,12.116,11.81505243,12.41694757,30.096,29.63071319,30.56128681,41.212,40.99021246,41.43378754,0
Actinodura egertoni,Rusty-fronted Barwing,Actinodura egertoni,Asia,7.042,6.294477507,7.789522493,14.412,14.26189057,14.56210943,17.09,16.99241531,17.18758469,0
Actinodura strigula,Chestnut-tailed Minla,Chrysominla strigula,Asia,0,0,0,18.70625,17.75344525,19.65905475,34.9375,34.36355688,35.51144312,2
Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,Asia,50,50,50,50,50,50,50,50,50,0
Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,Europe,23.728,21.57559011,25.88040989,49.976,49.94482235,50,50,50,50,0
Actitis macularius,Spotted Sandpiper,Actitis macularius,Latin_America,28.716,28.27744106,29.15455894,49.948,49.89011293,50,50,50,50,0
Actitis macularius,Spotted Sandpiper,Actitis macularius,North_America,2.380952381,0.214914897,4.546989865,50,50,50,50,50,50,8
Actophilornis africanus,African Jacana,Actophilornis africanus,Africa,28.028,26.31527085,29.74072915,47.872,47.40462931,48.33937069,50,50,50,0
Adelomyia melanogenys,Speckled Hummingbird,Adelomyia melanogenys,Latin_America,7.978,7.492169825,8.463830175,34.186,33.7772321,34.5947679,38.088,37.97135572,38.20464428,0
Aechmophorus clarkii,Clark's Grebe,Aechmophorus clarkii,North_America,50,50,50,50,50,50,50,50,50,0
Aechmophorus clarkii,Clark's Grebe,Aechmophorus clarkii,Latin_America,0,0,0,26.556,25.26414032,27.84785968,43.298,42.46551559,44.13048441,0
Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis,North_America,12.678,12.51964405,12.83635595,48.634,48.31897922,48.94902078,50,50,50,0
Aechmophorus occidentalis,Western Grebe,Aechmophorus occidentalis,Latin_America,0,0,0,22.42926829,19.81540944,25.04312715,34.21219512,32.66740026,35.75698998,9
Aegithalos caudatus,Long-tailed Tit,Aegithalos caudatus,Asia,32.77659574,32.16354768,33.38964381,49.9,49.82061121,49.97938879,50,50,50,3
Aegithalos caudatus,Long-tailed Tit,Aegithalos caudatus,Europe,33.958,33.53222806,34.38377194,49.818,49.70242057,49.93357943,49.996,49.99080372,50,0
Aegithalos concinnus,Black-throated Tit,Aegithalos concinnus,Asia,2.909090909,2.054821906,3.763359912,21.08636364,19.81340956,22.35931772,38.61136364,37.9562653,39.26646197,6
Aegithalos glaucogularis,Silver-throated Tit,Aegithalos glaucogularis,Asia,30.738,29.81685952,31.65914048,42.208,41.90496587,42.51103413,49.04,48.85557294,49.22442706,0
Aegithina lafresnayei,Great Iora,Aegithina lafresnayei,Asia,5.442,4.779123189,6.104876811,14.196,14.02676618,14.36523382,23.06,22.80000073,23.31999927,0
Aegithina nigrolutea,White-tailed Iora,Aegithina nigrolutea,Asia,2.319148936,1.4438809,3.194416972,18.7893617,18.06158768,19.51713572,33.28085106,32.58117478,33.98052735,3
Aegithina tiphia,Common Iora,Aegithina tiphia,Asia,20.534,20.21474392,20.85325608,48.79,48.53762996,49.04237004,50,50,50,0
Aegithina viridissima,Green Iora,Aegithina viridissima,Asia,3.609302326,2.582753487,4.635851164,27.35581395,25.48950792,29.22211999,41.59767442,40.75317523,42.44217361,7
Aegolius funereus,Boreal Owl,Aegolius funereus,Europe,0.812,0.347102991,1.276897009,14.562,14.10751321,15.01648679,27.632,27.0732378,28.1907622,0
Aegolius ridgwayi,Unspotted Saw-whet Owl,Aegolius ridgwayi,Latin_America,13.484,12.82601188,14.14198812,23.918,22.98364536,24.85235464,32.904,32.21403735,33.59396265,0
Aegotheles cristatus,Australian Owlet-nightjar,Aegotheles cristatus,Oceania,0,0,0,19.746,19.38834857,20.10365143,37.684,37.42515945,37.94284055,0
Aegypius monachus,Cinereous Vulture,Aegypius monachus,Europe,6.476,5.724998175,7.227001825,31.4,31.01669496,31.78330504,49.564,49.36478702,49.76321298,0
Aegypius monachus,Cinereous Vulture,Aegypius monachus,Asia,0.466,0.238843389,0.693156611,17.536,17.0879412,17.9840588,33.834,33.35925123,34.30874877,0
Aerodramus amelis,Ameline Swiftlet,Aerodramus vanikorensis,Asia,48.80952381,47.25887695,50,50,50,50,50,50,50,8
Aerodramus bartschi,Mariana Swiftlet,Aerodramus bartschi,Oceania,28.52,28.26459812,28.77540188,34.158,33.74943302,34.56656698,38.68,38.18864756,39.17135244,0
Aerodramus brevirostris,Himalayan Swiftlet,Aerodramus brevirostris,Asia,18.84,17.9772647,19.7027353,32.91,32.42682895,33.39317105,43.096,42.79972117,43.39227883,0
Aerodramus francicus,Mascarene Swiftlet,Aerodramus francicus,Africa,6.47826087,4.268525298,8.687996441,35.4,33.73774997,37.06225003,45.52826087,44.08346322,46.97305852,4
Aerodramus fuciphagus,White-nest Swiftlet,Aerodramus fuciphagus,Asia,22.19,21.27785916,23.10214084,36.85,36.63868985,37.06131015,45.286,44.83980137,45.73219863,0
Aerodramus germani,Germain's Swiftlet,Aerodramus fuciphagus,Asia,41.744,38.75075866,44.73724134,49.176,48.83248794,49.51951206,49.934,49.87260541,49.99539459,0
