"species","iucn.ordinal","max.acad","trend","bl.range.size","range.size","median.abund","hti","mig.distance","ebird.mig.dist","edge.score","sp.dist","gen.field","morph.field"
"Chalcothraupis_ruficervix",0.05,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Ixothraupis_guttata",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ixothraupis_xanthogastra",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ixothraupis_rufigula",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ixothraupis_punctata",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Ixothraupis_varia",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_florida",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_icterocephala",1,2,0.15,1,3,4,4,1,3,1,1,1,1
"Tangara_arthus",1,0.1,3,1,3,4,4,1,3,1,1,1,1
"Tangara_johannae",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Tangara_schrankii",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_parzudakii",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_xanthocephala",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_chrysotis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_brasiliensis",1,0.1,0.15,0.05,0.15,0.2,0.2,0.05,3,1,0.05,1,1
"Tangara_mexicana",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_inornata",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_callophrys",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_velia",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_chilensis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_cyanoventris",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_desmaresti",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_cyanocephala",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_fastuosa",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Tangara_seledon",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_gyrola",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_lavinia",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_dowii",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_fucosa",1,2,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Tangara_nigroviridis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_vassorii",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_labradorides",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Tangara_rufigenis",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Tangara_cyanotis",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Bangsia_aureocincta",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Bangsia_edwardsi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Bangsia_melanochlamys",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Bangsia_rothschildi",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Bangsia_arcaei",1,2,0.15,1,0.15,0.2,4,1,3,1,1,1,1
"Bangsia_flavovirens",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Wetmorethraupis_sterrhopteron",1,0.1,0.15,1,0.15,0.2,0.2,1,3,1,1,1,1
"Anisognathus_igniventris",1,0.1,0.15,1,0.15,0.2,4,1,3,1,1,1,1
